"doy","thermocline","depth","lake","year","source"
165,"ZT1b",3.74563829787234,"Peter",2018,"tchain"
165,"ZT2",2,"Peter",2018,"tchain"
166,"ZT1a",1.94743269339998,"Peter",2018,"tchain"
166,"ZT1b",3.78549488054607,"Peter",2018,"tchain"
166,"ZT2",2,"Peter",2018,"tchain"
167,"ZT1a",2.02627581234873,"Peter",2018,"tchain"
167,"ZT1b",3.87308241170175,"Peter",2018,"tchain"
167,"ZT2",2,"Peter",2018,"tchain"
168,"ZT1a",2.03018354860639,"Peter",2018,"tchain"
168,"ZT1b",3.92755856966708,"Peter",2018,"tchain"
168,"ZT2",2,"Peter",2018,"tchain"
169,"ZT1a",2.03021682644924,"Peter",2018,"tchain"
169,"ZT1b",4.00122231809031,"Peter",2018,"tchain"
169,"ZT2",2,"Peter",2018,"tchain"
170,"ZT1a",1.94884111009454,"Peter",2018,"tchain"
170,"ZT1b",4.04616,"Peter",2018,"tchain"
170,"ZT2",2,"Peter",2018,"tchain"
171,"ZT1a",1.85606437181558,"Peter",2018,"tchain"
171,"ZT1b",4.05230769230769,"Peter",2018,"tchain"
171,"ZT2",2,"Peter",2018,"tchain"
172,"ZT1a",1.77158227032599,"Peter",2018,"tchain"
172,"ZT1b",4.0728794280143,"Peter",2018,"tchain"
172,"ZT2",1.5,"Peter",2018,"tchain"
173,"ZT1a",1.80130850255185,"Peter",2018,"tchain"
173,"ZT1b",4.10061568373299,"Peter",2018,"tchain"
173,"ZT2",2,"Peter",2018,"tchain"
174,"ZT1a",1.76403007200339,"Peter",2018,"tchain"
174,"ZT1b",4.09832317073171,"Peter",2018,"tchain"
174,"ZT2",1.5,"Peter",2018,"tchain"
175,"ZT1a",1.81402032655781,"Peter",2018,"tchain"
175,"ZT1b",4.18920053745381,"Peter",2018,"tchain"
175,"ZT2",2,"Peter",2018,"tchain"
176,"ZT1a",1.93117335273332,"Peter",2018,"tchain"
176,"ZT1b",4.21390026051358,"Peter",2018,"tchain"
176,"ZT2",2,"Peter",2018,"tchain"
177,"ZT1a",1.93253888610135,"Peter",2018,"tchain"
177,"ZT1b",4.18666859456333,"Peter",2018,"tchain"
177,"ZT2",2,"Peter",2018,"tchain"
178,"ZT1a",1.93195693649496,"Peter",2018,"tchain"
178,"ZT1b",4.22876672484002,"Peter",2018,"tchain"
178,"ZT2",2,"Peter",2018,"tchain"
179,"ZT1a",1.9048329539162,"Peter",2018,"tchain"
179,"ZT1b",4.24478714161599,"Peter",2018,"tchain"
179,"ZT2",2,"Peter",2018,"tchain"
180,"ZT1a",1.84614672100778,"Peter",2018,"tchain"
180,"ZT1b",1.84614672100778,"Peter",2018,"tchain"
180,"ZT2",2,"Peter",2018,"tchain"
181,"ZT1a",1.77514882236218,"Peter",2018,"tchain"
181,"ZT1b",1.77514882236218,"Peter",2018,"tchain"
181,"ZT2",2,"Peter",2018,"tchain"
182,"ZT1a",1.68965436273129,"Peter",2018,"tchain"
182,"ZT1b",1.68965436273129,"Peter",2018,"tchain"
182,"ZT2",1.5,"Peter",2018,"tchain"
183,"ZT1a",1.91043103448276,"Peter",2018,"tchain"
183,"ZT1b",1.91043103448276,"Peter",2018,"tchain"
183,"ZT2",2,"Peter",2018,"tchain"
184,"ZT1a",1.83005239793319,"Peter",2018,"tchain"
184,"ZT1b",1.83005239793319,"Peter",2018,"tchain"
184,"ZT2",2,"Peter",2018,"tchain"
185,"ZT1a",1.83184057321988,"Peter",2018,"tchain"
185,"ZT1b",1.83184057321988,"Peter",2018,"tchain"
185,"ZT2",2,"Peter",2018,"tchain"
186,"ZT1a",1.84338482867895,"Peter",2018,"tchain"
186,"ZT1b",1.84338482867895,"Peter",2018,"tchain"
186,"ZT2",2,"Peter",2018,"tchain"
187,"ZT1a",1.94364968597348,"Peter",2018,"tchain"
187,"ZT1b",1.94364968597348,"Peter",2018,"tchain"
187,"ZT2",2,"Peter",2018,"tchain"
188,"ZT1a",1.94537448231126,"Peter",2018,"tchain"
188,"ZT1b",1.94537448231126,"Peter",2018,"tchain"
188,"ZT2",2,"Peter",2018,"tchain"
189,"ZT1a",1.98774820984206,"Peter",2018,"tchain"
189,"ZT1b",1.98774820984206,"Peter",2018,"tchain"
189,"ZT2",2,"Peter",2018,"tchain"
190,"ZT1a",1.94563539192399,"Peter",2018,"tchain"
190,"ZT1b",1.94563539192399,"Peter",2018,"tchain"
190,"ZT2",2,"Peter",2018,"tchain"
191,"ZT1a",1.94831586183193,"Peter",2018,"tchain"
191,"ZT1b",1.94831586183193,"Peter",2018,"tchain"
191,"ZT2",2,"Peter",2018,"tchain"
192,"ZT1a",1.97605187908497,"Peter",2018,"tchain"
192,"ZT1b",1.97605187908497,"Peter",2018,"tchain"
192,"ZT2",2,"Peter",2018,"tchain"
193,"ZT1a",2.0862038033728,"Peter",2018,"tchain"
193,"ZT1b",2.0862038033728,"Peter",2018,"tchain"
193,"ZT2",2,"Peter",2018,"tchain"
194,"ZT1a",2.10087885087885,"Peter",2018,"tchain"
194,"ZT1b",2.10087885087885,"Peter",2018,"tchain"
194,"ZT2",2,"Peter",2018,"tchain"
195,"ZT1a",2.10042326597488,"Peter",2018,"tchain"
195,"ZT1b",2.10042326597488,"Peter",2018,"tchain"
195,"ZT2",2,"Peter",2018,"tchain"
196,"ZT1a",2.06628334131928,"Peter",2018,"tchain"
196,"ZT1b",2.06628334131928,"Peter",2018,"tchain"
196,"ZT2",2,"Peter",2018,"tchain"
197,"ZT1a",2.01685130285536,"Peter",2018,"tchain"
197,"ZT1b",2.01685130285536,"Peter",2018,"tchain"
197,"ZT2",2,"Peter",2018,"tchain"
198,"ZT1a",2.09679310344828,"Peter",2018,"tchain"
198,"ZT1b",2.09679310344828,"Peter",2018,"tchain"
198,"ZT2",2,"Peter",2018,"tchain"
199,"ZT1a",2.21215051872692,"Peter",2018,"tchain"
199,"ZT1b",2.21215051872692,"Peter",2018,"tchain"
199,"ZT2",2.5,"Peter",2018,"tchain"
200,"ZT1a",2.194492552823,"Peter",2018,"tchain"
200,"ZT1b",2.194492552823,"Peter",2018,"tchain"
200,"ZT2",2.5,"Peter",2018,"tchain"
201,"ZT1a",2.27177906061401,"Peter",2018,"tchain"
201,"ZT1b",2.27177906061401,"Peter",2018,"tchain"
201,"ZT2",2.5,"Peter",2018,"tchain"
202,"ZT1a",2.44921621270515,"Peter",2018,"tchain"
202,"ZT1b",2.44921621270515,"Peter",2018,"tchain"
202,"ZT2",2.5,"Peter",2018,"tchain"
203,"ZT1a",2.51356335027045,"Peter",2018,"tchain"
